>> q11
        x           f(x)       error
   3.00000000000000e+00   1.41120008059867e-01   1.41120008059867e-01
   3.14254654307428e+00  -9.53889339826441e-04   9.53889339826441e-04
   3.14159265330048e+00   2.89316249076218e-10   2.89316249076218e-10
   3.14159265358979e+00   1.22464679914735e-16   1.22464679914735e-16
   3.14159265358979e+00   1.22464679914735e-16   1.22464679914735e-16
   3.14159265358979e+00   1.22464679914735e-16   1.22464679914735e-16
        x           f(x)       error
   3.00000000000000e+00   1.20000000000000e+01   1.20000000000000e+01
   2.36842105263158e+00   2.93920396559265e+00   2.93920396559265e+00
   2.07716312466591e+00   4.93208927686069e-01   4.93208927686069e-01
   2.00452016332014e+00   2.72232316584615e-02   2.72232316584615e-02
   2.00001692963470e+00   1.01579241259309e-04   1.01579241259309e-04
   2.00000000023884e+00   1.43303235944359e-09   1.43303235944359e-09
        x           f(x)       error
   1.00000000000000e+00   9.90000000000000e-01   9.90000000000000e-01
   1.00000000000000e+02   0.00000000000000e+00   0.00000000000000e+00
   1.00000000000000e+02   0.00000000000000e+00   0.00000000000000e+00
   1.00000000000000e+02   0.00000000000000e+00   0.00000000000000e+00
   1.00000000000000e+02   0.00000000000000e+00   0.00000000000000e+00
   1.00000000000000e+02   0.00000000000000e+00   0.00000000000000e+00
>> diary off
