>> [(pi/4+2*pi*10.^[1:20]')*2*10^-16/pi,err]
ans =

   4.05000000000000e-15   1.03250741290140e-14
   4.00500000000000e-14   5.44009282066327e-14
   4.00050000000000e-13   2.03004280052710e-12
   4.00005000000000e-12   4.50606219004612e-12
   4.00000500000000e-11   1.96613614278363e-10
   4.00000050000000e-10   2.22133422767001e-11
   4.00000005000000e-09   1.25612853452139e-09
   4.00000000500000e-08   2.31829585306542e-07
   4.00000000050000e-07   5.06952314571762e-07
   4.00000000005000e-06   4.50298580600972e-06
   4.00000000000500e-05   5.46009865889374e-05
   4.00000000000050e-04   1.56145765890858e-03
   4.00000000000005e-03   3.45386108511325e-03
   4.00000000000000e-02   1.09919740601338e-01
   4.00000000000000e-01   4.23348269339045e-01
   4.00000000000000e+00   1.96821974865261e+00
   4.00000000000000e+01   3.05184464888953e+00
   4.00000000000000e+02   4.57476533358056e+00
   4.00000000000000e+03   9.71188030245360e+00
   4.00000000000000e+04   2.05069410342145e+00

>> diary off
